antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
PyTorch,TensorFlow,0.4037,0.41104,0.15546,0.38508793658657414,0.9368624381728643,1.0,-0.01047684800000001,0.9577954882371896,-0.10154183978959948,0.23580269384783395,-0.044064220682942606,0.38164965143847973
NLP,AWS,0.40828,0.41276,0.1575,0.3857646713040071,0.9345980019963347,1.0,-0.011021652800000004,0.9560505112050403,-0.10575620424662285,0.23736323356542183,-0.04596983975204842,0.38367117177953525
AWS,NLP,0.41276,0.40828,0.1575,0.38157767225506345,0.9345980019963346,1.0,-0.011021652800000004,0.9568218569301888,-0.10647710242019512,0.23736323356542183,-0.04512662702787894,0.38367117177953525
Azure,Scikit-learn,0.41034,0.41022,0.15722,0.3831456840668714,0.9340004974571484,1.0,-0.011109674799999997,0.9561090597345133,-0.10701310645505382,0.23701269333976546,-0.045905788485755016,0.3832017240967188
Scikit-learn,Azure,0.41022,0.41034,0.15722,0.38325776412656626,0.9340004974571484,1.0,-0.011109674799999997,0.9560882418972333,-0.10699366258467825,0.23701269333976546,-0.045928562007654786,0.3832017240967188
Computer Vision,AWS,0.40626,0.41276,0.15624,0.38458130261408946,0.931731036471774,1.0,-0.011447877600000017,0.9542121526277896,-0.10984990404611936,0.235734331150608,-0.0479849761356695,0.3815531767455562
TensorFlow,Scikit-learn,0.41104,0.41022,0.15706,0.3821039314908525,0.9314610001727183,1.0,-0.011556828800000002,0.9544970911095362,-0.11106046969958737,0.2364649202047576,-0.04767212945360558,0.38248583050092333
Scikit-learn,TensorFlow,0.41022,0.41104,0.15706,0.3828677295109941,0.9314610001727183,1.0,-0.011556828800000002,0.9543497045346816,-0.1109231848531613,0.2364649202047576,-0.04783392843148243,0.38248583050092333
TensorFlow,NLP,0.41104,0.40828,0.15626,0.3801576488906189,0.9311199394793254,1.0,-0.01155941119999998,0.9546298327969228,-0.11158777521379667,0.235664947365246,-0.047526450194992645,0.3814425944071004
NLP,TensorFlow,0.40828,0.41104,0.15626,0.3827275399235819,0.9311199394793253,1.0,-0.01155941119999998,0.9541329608761209,-0.11112512786097063,0.235664947365246,-0.04807195747829757,0.3814425944071004
AWS,GCP,0.41276,0.41104,0.15784,0.38240139548405855,0.9303264779195664,1.0,-0.011820870400000016,0.9536290977561588,-0.11310665290656204,0.23701123190582013,-0.04862572078908835,0.3832014762550694
GCP,AWS,0.41104,0.41276,0.15784,0.3840015570260802,0.9303264779195662,1.0,-0.011820870400000016,0.9533140979462875,-0.11281360024289913,0.23701123190582013,-0.048972214041822476,0.3832014762550694
SQL,Azure,0.40644,0.41034,0.15508,0.3815569333726995,0.9298555670241739,1.0,-0.011698589600000003,0.9534588255887971,-0.11275980031066549,0.234366026900408,-0.04881298820896865,0.3797437150170024
NLP,Scikit-learn,0.40828,0.41022,0.15556,0.3810130302733419,0.928801692441475,1.0,-0.011924621599999963,0.9528148876226654,-0.11469005625798354,0.23465170301988114,-0.049521804277286606,0.38011209263167367
AWS,Scikit-learn,0.41276,0.41022,0.15714,0.3807054947184805,0.9280520079920055,1.0,-0.012182407199999995,0.952341729129176,-0.11662124735861988,0.23600264327766432,-0.050043245416120416,0.3818841207686303
Scikit-learn,AWS,0.41022,0.41276,0.15714,0.3830627468187802,0.9280520079920055,1.0,-0.012182407199999995,0.951863413940256,-0.11617734598708952,0.23600264327766432,-0.05057089636472276,0.3818841207686303
Python,GCP,0.40792,0.41104,0.1556,0.3814473426161992,0.9280054072990443,1.0,-0.01207143680000003,0.9521582244768547,-0.1158497392099938,0.2345634346357935,-0.050245614954836995,0.3799996541808127
R,TensorFlow,0.4041,0.41104,0.15396,0.3809948032665182,0.9269044454712879,1.0,-0.012141264000000013,0.9514621252098824,-0.11687100020803581,0.23285640823981368,-0.05101398521713161,0.37777844484073286
TensorFlow,AWS,0.41104,0.41276,0.15724,0.382541845075905,0.9267900113283869,1.0,-0.012420870400000034,0.9510604003152089,-0.11826140781189362,0.23589774363898222,-0.05145793018884105,0.3817448056661626
AWS,TensorFlow,0.41276,0.41104,0.15724,0.3809477662564202,0.9267900113283869,1.0,-0.012420870400000034,0.9513898309329993,-0.11856672081788763,0.23589774363898222,-0.05109384974120456,0.3817448056661626
R,Scikit-learn,0.4041,0.41022,0.15358,0.3800544419698094,0.9264649260635986,1.0,-0.012189902000000002,0.9513416014689445,-0.11754036015504424,0.2324363592335866,-0.05114713627147505,0.3772194592960548
Azure,AWS,0.41034,0.41276,0.15662,0.38168348199054447,0.9247104418803771,1.0,-0.012751938399999996,0.949740113510957,-0.1213262981551322,0.23499579882367067,-0.052919620614153576,0.3805645823558692
R,AWS,0.4041,0.41276,0.15398,0.381044295966345,0.9231618760692533,1.0,-0.012816315999999994,0.9487593315208699,-0.12255855952413254,0.2322894038136616,-0.05400807852607969,0.37704700504296507
